"n_estimators","learning_rate","max_depth","score"
"95","0.6","5","0.28208020050125315"
"95","0.65","3","0.2992207792207793"
"95","0.65","4","0.37667861409796893"
"95","0.65","5","0.2992957746478873"
"95","0.7","3","0.4147191082399139"
"95","0.7","4","0.4151709401709402"
"95","0.7","5","0.4085409252669039"
"100","0.5","3","0.2688477606140095"
"100","0.5","4","0.3195534539072783"
"100","0.5","5","0.3608277470125328"
"100","0.55","3","0.39139214943834405"
"100","0.55","4","0.39520845123561593"
"100","0.55","5","0.2802017785636278"
"100","0.6","3","0.4225484660267269"
"100","0.6","4","0.2759725400457666"
"100","0.6","5","0.4053241444545792"
"100","0.65","3","0.4082672882672882"
"100","0.65","4","0.28038621734191593"
"100","0.65","5","0.2660401002506266"
"100","0.7","3","0.41430751502693947"
"100","0.7","4","0.39567318757192177"
"100","0.7","5","0.2770092226613966"
"105","0.5","3","0.283928056170049"
"105","0.5","4","0.32047519878833775"
"105","0.5","5","0.272887323943662"
"105","0.55","3","0.29549939831528277"
"105","0.55","4","0.40227156356188615"
"105","0.55","5","0.2770092226613966"
"105","0.6","3","0.3860181890075128"
"105","0.6","4","0.39030910609857977"
"105","0.6","5","0.38308270676691736"
"105","0.65","3","0.43852657004830925"
"105","0.65","4","0.38353732598336915"
"105","0.65","5","0.3535128902067375"
"105","0.7","3","0.43020979020979017"
"105","0.7","4","0.41069153069153064"
"105","0.7","5","0.38341158059467917"

"n_estimators","learning_rate","max_depth","score"
"95","0.5","3","0.3713635703567452"
"95","0.5","4","0.32809847198641773"
"95","0.5","5","0.30002986114567265"
"95","0.55","3","0.4104896307062372"
"95","0.55","4","0.38995222980988103"
"95","0.55","5","0.3601982263954095"
"95","0.6","3","0.38995222980988103"
"95","0.6","4","0.2861803084223013"
"95","0.6","5","0.39598874492867425"
"95","0.65","3","0.41038341588699323"
"95","0.65","4","0.37049613280513105"
"95","0.65","5","0.3598754376623587"
"95","0.7","3","0.3130494821634062"
"95","0.7","4","0.4058394160583942"
"95","0.7","5","0.3547201336675021"
"100","0.5","3","0.3544600938967137"
"100","0.5","4","0.42744259852974514"
"100","0.5","5","0.38285170305113186"
"100","0.55","3","0.3972960372960373"
"100","0.55","4","0.38898472941026135"
"100","0.55","5","0.2662663423532989"
"100","0.6","3","0.32415584415584414"
"100","0.6","4","0.2646634615384615"
"100","0.6","5","0.40035780461312376"
"100","0.65","3","0.3100664767331434"
"100","0.65","4","0.27712818003913897"
"100","0.65","5","0.3913487956041148"
"100","0.7","3","0.3099733028222731"
"100","0.7","4","0.29566663586805875"
"100","0.7","5","0.25372234455279435"
"105","0.5","3","0.37697059550284157"
"105","0.5","4","0.4330278626307507"
"105","0.5","5","0.29097744360902256"
"105","0.55","3","0.3923617708531255"
"105","0.55","4","0.2906848129268058"
"105","0.55","5","0.3634995419447716"
"105","0.6","3","0.4114749984315202"
"105","0.6","4","0.36132924229029073"
"105","0.6","5","0.2906848129268058"
"105","0.65","3","0.4255204109218708"
"105","0.65","4","0.28876372586141613"
"105","0.65","5","0.2850387559108858"
"105","0.7","3","0.3072742474916388"
"105","0.7","4","0.3950363362128068"
"105","0.7","5","0.40347225583684265"

"n_estimators","learning_rate","max_depth","score"
"95","0.5","3","0.2715721040189125"
"95","0.5","4","0.3170366795366796"
"95","0.5","5","0.2842555994729908"
"95","0.55","3","0.40256216079767765"
"95","0.55","4","0.2983199111357956"
"95","0.55","5","0.34037558685446007"
"95","0.6","3","0.28917562724014334"
"95","0.6","4","0.27213279678068414"
"95","0.6","5","0.2774701253278927"
"95","0.65","3","0.4157085447408028"
"95","0.65","4","0.39618831250788844"
"95","0.65","5","0.3755868544600938"
"95","0.7","3","0.29905239687848384"
"95","0.7","4","0.4058394160583942"
"95","0.7","5","0.29922092911416753"
"100","0.5","3","0.2687261632341724"
"100","0.5","4","0.3195534539072783"
"100","0.5","5","0.3916749916749917"
"100","0.55","3","0.38414068745003993"
"100","0.55","4","0.29905239687848384"
"100","0.55","5","0.272887323943662"
"100","0.6","3","0.3150997553171466"
"100","0.6","4","0.3573527921354009"
"100","0.6","5","0.3751145138070933"
"100","0.65","3","0.303178770687796"
"100","0.65","4","0.3752751053260391"
"100","0.65","5","0.4011988011988012"
"100","0.7","3","0.4032514248341587"
"100","0.7","4","0.2882412945704085"
"100","0.7","5","0.2628264925373134"
"105","0.5","3","0.3608277470125328"
"105","0.5","4","0.37463141421629187"
"105","0.5","5","0.27112676056338025"
"105","0.55","3","0.29155005646388765"
"105","0.55","4","0.3921953346413778"
"105","0.55","5","0.27318295739348375"
"105","0.6","3","0.38995222980988103"
"105","0.6","4","0.37076648841354726"
"105","0.6","5","0.386984126984127"
"105","0.65","3","0.31977272727272726"
"105","0.65","4","0.3780952380952381"
"105","0.65","5","0.37180490349504436"
"105","0.7","3","0.40636986732063135"
"105","0.7","4","0.40653624856156495"
"105","0.7","5","0.3747568208778173"

"n_estimators","learning_rate","max_depth","score"
"95","0.5","3","0.37712930011862394"
