"n_estimators","max_depth","max_features","score"
"90","None","sqrt","0.33730158730158727"
"90","None","sqrt","0.3672217816547714"
"90","None","sqrt","0.336624972569673"
"90","None","sqrt","0.35480480480480486"
"90","None","sqrt","0.3653977956839863"
"90","None","sqrt","0.3700057077625571"
"90","None","sqrt","0.3653977956839863"
"90","None","sqrt","0.38270547945205485"
"90","None","sqrt","0.37282626361124654"
"90","None","sqrt","0.40810502283105027"
"90","None","0.5","0.38270547945205485"
"90","None","0.5","0.39852639914613786"
"90","None","0.5","0.37282626361124654"
"90","None","0.5","0.37568575817423744"
"90","None","0.5","0.3496452344378611"
"90","None","0.5","0.4017262819106137"
"90","None","0.5","0.3768721699756183"
"90","None","0.5","0.367657682689636"
"90","None","0.5","0.3672217816547714"
"90","None","0.5","0.38568358704877476"
"90","16","sqrt","0.3522089469297027"
"90","16","sqrt","0.35480480480480486"
"90","16","sqrt","0.36010182828049064"
"90","16","sqrt","0.40167189132706377"
"90","16","sqrt","0.37568575817423744"
"90","16","sqrt","0.37282626361124654"
"90","16","sqrt","0.38568358704877476"
"90","16","sqrt","0.37568575817423744"
"90","16","sqrt","0.35480480480480486"
"90","16","sqrt","0.3653977956839863"
"90","16","0.5","0.40486386465767915"
"90","16","0.5","0.37282626361124654"
"90","16","0.5","0.37282626361124654"
"90","16","0.5","0.38870602004242555"
"90","16","0.5","0.3522089469297027"
"90","16","0.5","0.3700057077625571"
"90","16","0.5","0.3574349902033518"
"90","16","0.5","0.37282626361124654"
"90","16","0.5","0.4140717520027865"
"90","16","0.5","0.3496452344378611"
"90","18","sqrt","0.3496452344378611"
"90","18","sqrt","0.3797691426557406"
"90","18","sqrt","0.3653977956839863"
"90","18","sqrt","0.36010182828049064"
"90","18","sqrt","0.35996894017371833"
"90","18","sqrt","0.3815315315315315"
"90","18","sqrt","0.36266549630604933"
"90","18","sqrt","0.3815315315315315"
"90","18","sqrt","0.37282626361124654"
"90","18","sqrt","0.35996894017371833"
"90","18","0.5","0.36266549630604933"
"90","18","0.5","0.3672217816547714"
"90","18","0.5","0.36266549630604933"
"90","18","0.5","0.3985409104863029"
"90","18","0.5","0.35996894017371833"
"90","18","0.5","0.3797691426557406"
"90","18","0.5","0.3496452344378611"
"90","18","0.5","0.34711161673619007"
"90","18","0.5","0.38568358704877476"
"90","18","0.5","0.3985409104863029"
"90","20","sqrt","0.36266549630604933"
"90","20","sqrt","0.40486386465767915"
"90","20","sqrt","0.3892720306513409"
"90","20","sqrt","0.3522089469297027"
"90","20","sqrt","0.3653977956839863"
"90","20","sqrt","0.3522089469297027"
"90","20","sqrt","0.34711161673619007"
"90","20","sqrt","0.3210311173697901"
"90","20","sqrt","0.3653977956839863"
"90","20","sqrt","0.34888223904242205"
"90","20","0.5","0.3797691426557406"
"90","20","0.5","0.37282626361124654"
"90","20","0.5","0.3574349902033518"
"90","20","0.5","0.40167189132706377"
"90","20","0.5","0.3768721699756183"
"90","20","0.5","0.36266549630604933"
"90","20","0.5","0.35996894017371833"
"90","20","0.5","0.3709790941429359"
"90","20","0.5","0.40167189132706377"
"90","20","0.5","0.3522089469297027"
"90","22","sqrt","0.3709790941429359"
"90","22","sqrt","0.3672217816547714"
"90","22","sqrt","0.3496452344378611"
"90","22","sqrt","0.3546744206538021"
"90","22","sqrt","0.34389088626376757"
"90","22","sqrt","0.3672217816547714"
"90","22","sqrt","0.35480480480480486"
"90","22","sqrt","0.37568575817423744"
"90","22","sqrt","0.34389088626376757"
"90","22","sqrt","0.35480480480480486"
"90","22","0.5","0.3954052511415525"
"90","22","0.5","0.3797691426557406"
"90","22","0.5","0.37282626361124654"
"90","22","0.5","0.37568575817423744"
"90","22","0.5","0.3862693453149477"
"90","22","0.5","0.3785866444382699"
"90","22","0.5","0.3496452344378611"
"90","22","0.5","0.38568358704877476"
"90","22","0.5","0.3496452344378611"
"90","22","0.5","0.3768721699756183"
"90","24","sqrt","0.33425429329866185"
"90","24","sqrt","0.3785866444382699"
"90","24","sqrt","0.34144144144144145"
"90","24","sqrt","0.3573059360730593"
"90","24","sqrt","0.34144144144144145"
"90","24","sqrt","0.34144144144144145"
"90","24","sqrt","0.3815315315315315"
"90","24","sqrt","0.34389088626376757"
"90","24","sqrt","0.3574349902033518"
"90","24","sqrt","0.37282626361124654"
"90","24","0.5","0.37282626361124654"
"90","24","0.5","0.34389088626376757"
"90","24","0.5","0.4140717520027865"
"90","24","0.5","0.34144144144144145"
"90","24","0.5","0.3892720306513409"
"90","24","0.5","0.39852639914613786"
"90","24","0.5","0.3954052511415525"
"90","24","0.5","0.36224425302923596"
"90","24","0.5","0.3862693453149477"
"90","24","0.5","0.40167189132706377"
"90","26","sqrt","0.34888223904242205"
"90","26","sqrt","0.37568575817423744"
"90","26","sqrt","0.35996894017371833"
"90","26","sqrt","0.3700057077625571"
"90","26","sqrt","0.3522089469297027"
"90","26","sqrt","0.37568575817423744"
"90","26","sqrt","0.37282626361124654"
"90","26","sqrt","0.3522089469297027"
"90","26","sqrt","0.34389088626376757"
"90","26","sqrt","0.36010182828049064"
"90","26","0.5","0.39231650365670984"
"90","26","0.5","0.38270547945205485"
"90","26","0.5","0.36266549630604933"
"90","26","0.5","0.3667711598746082"
"90","26","0.5","0.3653977956839863"
"90","26","0.5","0.38270547945205485"
"90","26","0.5","0.40167189132706377"
"90","26","0.5","0.35996894017371833"
"90","26","0.5","0.35996894017371833"
"90","26","0.5","0.37568575817423744"
"100","None","sqrt","0.35996894017371833"
"100","None","sqrt","0.35996894017371833"
"100","None","sqrt","0.37282626361124654"
"100","None","sqrt","0.37568575817423744"
"100","None","sqrt","0.38270547945205485"
"100","None","sqrt","0.40486386465767915"
"100","None","sqrt","0.37568575817423744"
"100","None","sqrt","0.34389088626376757"
"100","None","sqrt","0.33495667820610614"
"100","None","sqrt","0.3653977956839863"
"100","None","0.5","0.3653977956839863"
"100","None","0.5","0.37282626361124654"
"100","None","0.5","0.38270547945205485"
"100","None","0.5","0.35480480480480486"
"100","None","0.5","0.3573059360730593"
"100","None","0.5","0.37282626361124654"
"100","None","0.5","0.383306100217865"
"100","None","0.5","0.3700057077625571"
"100","None","0.5","0.37282626361124654"
